PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
Fobes Hill CDP,WA,0,0,-99,2500,0.0709,70655,84479,0.916,0.2308,0.8826,0.1174,382100,0.932,38.8,0.2592,0.1036,Pacific,1
Richfield town,NY,0,0,-99,2501,0.118,37328,47946,0.844,0.185,0.807,0.193,97500,0.982,49.3,0.148,0.269,Middle Atlantic,0
Windermere town,FL,1,20,2855,2503,0.0447,111467,125197,1,0.5989,0.886,0.114,571000,0.9365,44.3,0.2581,0.1434,South Atlantic,1
Hardinsburg city,KY,0,0,-99,2503,0.2315,31250,44881,0.7282,0.1241,0.6213,0.3787,79700,0.9229,38.8,0.2625,0.1506,East South Central,0
Andover town,NH,0,0,-99,2503,0.083,70583,76654,0.9,0.29,0.866,0.134,216700,0.9628,48.6,0.169,0.192,New England,1
Brasher town,NY,0,0,-99,2503,0.195,40119,53836,0.871,0.113,0.796,0.204,95000,0.9381,42.8,0.257,0.137,Middle Atlantic,0
Wrightsville Beach town,NC,0,0,-99,2504,0.1494,72667,116250,0.987,0.671,0.5747,0.4253,911700,0.9912,34.2,0.139,0.131,South Atlantic,1
Greenville CDP,DE,0,0,-99,2505,0.0493,156635,222938,0.9942,0.6593,0.6275,0.3725,696400,0.8551,48,0.1956,0.2335,South Atlantic,1
Oxford township,NJ,0,0,-99,2505,0.02,65489,69406,0.872,0.22,0.862,0.138,212400,0.9301,41.1,0.239,0.107,Middle Atlantic,1
Glen town,NY,0,0,-99,2505,0.054,59214,65875,0.869,0.16,0.799,0.201,104700,0.9489,40.4,0.198,0.138,Middle Atlantic,0
Williamsburg village,OH,1,9,2490,2505,0.2335,42773,48500,0.8143,0.0813,0.4814,0.5186,105400,0.9796,30.3,0.3345,0.0802,East North Central,0
North Sioux City city,SD,0,0,-99,2505,0.0633,56557,67900,0.8996,0.2589,0.6851,0.3149,113900,0.909,37.8,0.2379,0.1337,West North Central,2
Bullard town,TX,0,0,-99,2505,0.0787,58571,66905,0.9606,0.3236,0.8063,0.1937,128000,0.9553,31.9,0.3485,0.0798,West South Central,1
Welch city,WV,0,0,-99,2505,0.2331,30550,46591,0.7891,0.1117,0.6286,0.3714,51800,0.8024,43.1,0.1836,0.1745,South Atlantic,0
Moscow Mills city,MO,0,0,-99,2506,0.2176,39706,41691,0.7965,0.0701,0.701,0.299,66600,0.9122,30.1,0.3128,0.0774,West North Central,1
St. Henry village,OH,0,0,-99,2506,0.0577,66354,77143,0.9051,0.1935,0.7902,0.2098,144600,0.9876,36.4,0.2901,0.1792,East North Central,2
Luxemburg village,WI,0,0,-99,2506,0.0794,56250,72857,0.8879,0.1534,0.6811,0.3189,159700,0.9621,33.6,0.3117,0.1568,East North Central,5
Dunkirk city,IN,0,0,-99,2508,0.1432,32778,36771,0.7588,0.0683,0.7169,0.2831,56100,0.9932,32.8,0.3042,0.128,East North Central,1
Bar Harbor CDP,ME,0,0,-99,2508,0.2111,33968,79830,0.9152,0.4239,0.3873,0.6127,297400,0.939,36.9,0.1112,0.1547,New England,1
Yates town,NY,0,0,-99,2509,0.095,48750,54896,0.851,0.117,0.82,0.18,87700,0.9502,41.6,0.267,0.151,Middle Atlantic,2
Oakland town,FL,1,11,2547,2510,0.1329,81685,89500,0.9444,0.437,0.7964,0.2036,290400,0.6928,35.8,0.2932,0.0669,South Atlantic,3
Natalbany CDP,LA,0,0,-99,2510,0.2545,30453,31223,0.8264,0.2458,0.3786,0.6214,77400,0.4984,26.2,0.2355,0.1187,West South Central,0
Grifton town,NC,0,0,-99,2510,0.2355,34399,46366,0.8949,0.181,0.627,0.373,104600,0.5964,46.6,0.2641,0.2235,South Atlantic,1
Timberville town,VA,0,0,-99,2511,0.1253,41816,50000,0.7447,0.1514,0.6408,0.3592,143500,0.9853,42,0.2031,0.1844,South Atlantic,2
Bertsch-Oceanview CDP,CA,0,0,-99,2513,0.2114,48750,58367,0.7611,0.1123,0.7536,0.2464,173100,0.8201,37.6,0.2813,0.1154,Pacific,0
Osseo city,MN,0,0,-99,2513,0.0908,43114,63452,0.9359,0.2256,0.5202,0.4798,193700,0.9049,49.2,0.1464,0.2738,West North Central,5
Villa Ridge CDP,MO,0,0,-99,2513,0.1535,59966,71161,0.9115,0.1566,0.9492,0.0508,141200,1,45.1,0.2197,0.1548,West North Central,2
Tuftonboro town,NH,0,0,-99,2513,0.081,60143,64659,0.954,0.39,0.871,0.129,241000,0.992,50.6,0.229,0.218,New England,1
Marysville borough,PA,0,0,-99,2513,0.068,44868,63309,0.906,0.176,0.705,0.295,132500,0.8818,42.3,0.189,0.177,Middle Atlantic,0
Estill town,SC,0,0,-99,2513,0.3542,35000,40845,0.7421,0.1207,0.5968,0.4032,88800,0.1791,30.2,0.2977,0.1055,South Atlantic,0
Norway CDP,ME,0,0,-99,2514,0.2477,24964,27944,0.8206,0.1054,0.5216,0.4784,102900,0.9634,45.6,0.1901,0.2056,New England,1
Londonderry township,PA,0,0,-99,2514,0.052,97625,106506,0.892,0.325,0.892,0.108,312400,0.9658,40.7,0.255,0.114,Middle Atlantic,0
Bethlehem town,NH,0,0,-99,2515,0.187,46181,60592,0.91,0.292,0.668,0.332,163400,0.9439,44.2,0.24,0.134,New England,0
Snyder township,PA,0,0,-99,2515,0.13,52861,56953,0.913,0.14,0.848,0.152,88200,0.9905,39.8,0.24,0.147,Middle Atlantic,0
Anson city,TX,0,0,-99,2515,0.1497,36927,49364,0.7494,0.0909,0.6738,0.3262,53000,0.8954,35.4,0.3276,0.1571,West South Central,0
Spring Valley city,MN,0,0,-99,2516,0.1321,44571,53529,0.8898,0.128,0.7387,0.2613,108400,0.9587,42.8,0.2277,0.186,West North Central,0
Franklin township,PA,0,0,-99,2516,0.101,42750,48203,0.842,0.146,0.905,0.095,69800,0.9595,43.5,0.217,0.231,Middle Atlantic,0
New Hope borough,PA,0,0,-99,2518,0.027,83182,116000,0.966,0.551,0.63,0.37,597000,0.9249,46,0.193,0.177,Middle Atlantic,0
Wrightsville borough,PA,0,0,-99,2518,0.085,50781,55341,0.816,0.137,0.698,0.302,125600,0.9067,42.2,0.206,0.162,Middle Atlantic,1
Navy Yard City CDP,WA,0,0,-99,2518,0.2144,48241,60493,0.8596,0.1271,0.5559,0.4441,151200,0.6037,32,0.2069,0.1005,Pacific,1
Poynette village,WI,0,0,-99,2518,0.122,53355,74688,0.9229,0.1448,0.6868,0.3132,156800,0.946,35.2,0.2748,0.1144,East North Central,3
Moorefield town,WV,0,0,-99,2518,0.2029,26582,36731,0.7782,0.0997,0.5873,0.4127,113100,0.8376,41.2,0.2033,0.1878,South Atlantic,0
Edgewood city,FL,0,0,-99,2519,0.0532,71210,104609,0.9682,0.3917,0.8985,0.1015,254400,0.7705,43.3,0.2191,0.1449,South Atlantic,2
East Hopewell township,PA,0,0,-99,2519,0.045,81728,88846,0.864,0.195,0.938,0.062,232700,0.9794,43.4,0.224,0.12,Middle Atlantic,0
Warwick township,PA,0,0,-99,2519,0.028,73594,81250,0.931,0.351,0.795,0.205,306300,0.977,44.8,0.231,0.135,Middle Atlantic,0
Paden City city,WV,0,0,-99,2519,0.1834,33617,45240,0.8567,0.1383,0.8014,0.1986,72200,0.9909,45.2,0.1993,0.2152,South Atlantic,0
Alexander town,NY,0,0,-99,2520,0.053,59138,64861,0.92,0.13,0.857,0.143,106000,0.9825,42.2,0.254,0.122,Middle Atlantic,0
Saville township,PA,0,0,-99,2520,0.126,58333,61838,0.826,0.15,0.789,0.211,169500,0.973,35.9,0.274,0.096,Middle Atlantic,0
Rio Hondo city,TX,0,0,-99,2520,0.3191,28958,30951,0.6434,0.0787,0.7125,0.2875,54500,0.9595,38.1,0.2127,0.1694,West South Central,0
Platteville town,CO,1,10,2500,2522,0.1439,52619,57000,0.745,0.1207,0.7608,0.2392,167800,0.9568,34.8,0.2661,0.1019,Mountain,2
Pearl River town,LA,0,0,-99,2522,0.1803,37826,53819,0.7838,0.1275,0.7472,0.2528,134300,0.9833,37.9,0.2419,0.1257,West South Central,2
Rouses Point village,NY,0,0,-99,2522,0.1307,54706,75069,0.8802,0.2505,0.5438,0.4562,144600,0.9584,42,0.1887,0.1459,Middle Atlantic,0
Pottsboro town,TX,0,0,-99,2522,0.0753,60156,75978,0.9457,0.2336,0.7249,0.2751,151300,0.9667,35.6,0.2815,0.1237,West South Central,0
Middleport village,OH,0,0,-99,2523,0.3146,26875,32609,0.7963,0.0888,0.6902,0.3098,58300,0.9738,40.1,0.2271,0.1649,East North Central,0
Salt Creek Commons CDP,IN,0,0,-99,2524,0.0859,60478,60560,0.9626,0.1712,0.764,0.236,114800,0.9612,26.2,0.3811,0.0234,East North Central,2
Piermont village,NY,0,0,-99,2524,0.0848,88965,150795,0.9575,0.5725,0.7063,0.2937,741300,0.8562,53.8,0.141,0.2092,Middle Atlantic,2
Shirley township,PA,0,0,-99,2524,0.171,36691,50568,0.848,0.064,0.81,0.19,75800,0.9632,45.3,0.201,0.262,Middle Atlantic,0
Weatherly borough,PA,0,0,-99,2524,0.13,46630,56452,0.931,0.122,0.814,0.186,112000,0.9529,44.9,0.207,0.259,Middle Atlantic,0
Mitchellville city,IA,0,0,-99,2525,0.1307,63036,72019,0.9479,0.1232,0.7571,0.2429,125400,0.9224,36,0.2024,0.0721,West North Central,2
Hamilton township,PA,0,0,-99,2525,0.037,68281,72212,0.892,0.165,0.93,0.07,218100,0.9042,40.4,0.288,0.129,Middle Atlantic,1
Salford township,PA,0,0,-99,2525,0.046,86875,97500,0.952,0.343,0.902,0.098,393500,0.985,44.1,0.236,0.141,Middle Atlantic,0
Springdale CDP,SC,0,0,-99,2525,0.2484,30227,43045,0.6365,0.0855,0.5108,0.4892,84300,0.7477,36,0.2523,0.0859,South Atlantic,0
Port Ludlow CDP,WA,0,0,-99,2525,0.035,74375,86790,1,0.4817,0.9536,0.0464,366100,0.8891,64.4,0.0745,0.4788,Pacific,1
Sleepy Hollow CDP,CA,0,0,-99,2526,0.0369,162292,167833,0.9669,0.641,0.9564,0.0436,1000001,0.9466,52,0.2229,0.1924,Pacific,1
Blountstown city,FL,0,0,-99,2526,0.2688,30054,33125,0.8123,0.1061,0.6914,0.3086,90700,0.6706,42.9,0.2435,0.234,South Atlantic,0
Silver Lake village,OH,1,20,2519,2526,0.0808,98922,108438,0.9806,0.6153,0.9541,0.0459,207700,0.9869,49.7,0.1979,0.2162,East North Central,6
Lamar township,PA,0,0,-99,2526,0.116,57500,65385,0.897,0.21,0.834,0.166,120900,0.9937,44.9,0.27,0.158,Middle Atlantic,0
Strasburg CDP,CO,0,0,-99,2527,0.0947,74605,81298,0.913,0.1358,0.8864,0.1136,200200,0.9355,33.5,0.3051,0.1136,Mountain,0
Amboy city,IL,0,0,-99,2527,0.1055,43378,57083,0.804,0.1187,0.7146,0.2854,93600,0.9941,42,0.245,0.1947,East North Central,0
Wabasha city,MN,0,0,-99,2527,0.095,39709,54597,0.8665,0.1737,0.6918,0.3082,133000,0.9723,44.7,0.2244,0.2584,West North Central,0
Lancaster township,PA,0,0,-99,2527,0.059,66548,76920,0.895,0.283,0.839,0.161,210300,0.9968,46.4,0.193,0.157,Middle Atlantic,0
Mountain City town,TN,0,0,-99,2527,0.3206,27614,40462,0.6833,0.1207,0.6059,0.3941,117000,0.9703,44.2,0.2165,0.2481,East South Central,3
Weedpatch CDP,CA,0,0,-99,2528,0.3923,29139,28806,0.2456,0.0162,0.4057,0.5943,78000,0.7413,23.9,0.3532,0.0479,Pacific,1
Henry city,IL,1,17,2464,2528,0.0974,44569,59667,0.8844,0.1649,0.7722,0.2278,84500,0.9747,43.4,0.2235,0.2112,East North Central,0
Konterra CDP,MD,0,0,-99,2528,0.0187,112813,125733,0.9819,0.4964,0.9657,0.0343,307900,0.3948,42.4,0.2354,0.1693,South Atlantic,1
Bolton town,NY,0,0,-99,2528,0.044,59208,66100,0.954,0.354,0.759,0.241,323100,0.9664,50,0.154,0.209,Middle Atlantic,0
Reno city,TX,0,0,-99,2528,0.1515,56389,72679,0.8162,0.1223,0.8407,0.1593,96700,0.9608,40.6,0.2377,0.1112,West South Central,0
Okanogan city,WA,1,17,2552,2528,0.3057,34145,42969,0.8032,0.1358,0.5075,0.4925,125700,0.7892,40.1,0.1661,0.1503,Pacific,2
Earle city,AR,0,0,-99,2529,0.3483,26023,29181,0.7199,0.0792,0.493,0.507,48500,0.1459,31.7,0.2954,0.1155,West South Central,0
Pine Crest CDP,TN,0,0,-99,2529,0.1705,44914,50579,0.9065,0.262,0.6101,0.3899,109100,0.9632,40.5,0.1471,0.1427,East South Central,2
Dublin town,VA,0,0,-99,2529,0.1556,33271,55795,0.81,0.0994,0.4609,0.5391,111100,0.8964,35.8,0.174,0.1127,South Atlantic,0
Neillsville city,WI,0,0,-99,2529,0.1442,37827,54605,0.8692,0.1758,0.6146,0.3854,93200,0.934,41.2,0.2198,0.2388,East North Central,0
Williamsport town,IN,0,0,-99,2530,0.1092,41891,53654,0.6839,0.1149,0.6829,0.3171,87700,0.9415,33.5,0.2787,0.1632,East North Central,0
Lafayette township,NJ,0,0,-99,2530,0.044,105915,110536,0.934,0.31,0.929,0.071,386400,0.9668,42.7,0.239,0.125,Middle Atlantic,1
Verona borough,PA,0,0,-99,2530,0.213,34273,42917,0.9,0.138,0.412,0.588,79800,0.8783,38.2,0.244,0.151,Middle Atlantic,0
Goliad city,TX,0,0,-99,2530,0.2016,40667,61548,0.8277,0.1717,0.6925,0.3075,87900,0.6858,38.7,0.2751,0.1534,West South Central,0
Glenwood city,AR,0,0,-99,2532,0.2529,28896,31695,0.7138,0.144,0.5256,0.4744,77100,0.8167,39.1,0.2701,0.1825,West South Central,1
Chichester town,NH,0,0,-99,2532,0.058,79844,86689,0.926,0.291,0.921,0.079,265700,0.9767,43.6,0.215,0.093,New England,0
San Ysidro CDP,NM,0,0,-99,2532,0.164,31645,36708,0.694,0.216,0.9708,0.0292,166900,0.9135,47.5,0.2303,0.2129,Mountain,0
Nichols town,NY,0,0,-99,2532,0.089,46615,55625,0.906,0.151,0.837,0.163,89400,0.9949,41,0.215,0.183,Middle Atlantic,0
George West city,TX,0,0,-99,2532,0.1757,38906,44708,0.6592,0.0958,0.6818,0.3182,75100,0.9048,36.8,0.3104,0.1833,West South Central,0
Brookfield town,NY,0,0,-99,2533,0.157,41292,46406,0.903,0.153,0.803,0.197,77500,0.9424,41.3,0.249,0.117,Middle Atlantic,0
Montrose CDP,NY,0,0,-99,2534,0.0204,96288,116629,0.9612,0.4146,0.8755,0.1245,344900,0.8216,47.6,0.1752,0.1586,Middle Atlantic,2
New Lisbon city,WI,0,0,-99,2534,0.1237,37969,44375,0.843,0.0966,0.6856,0.3144,80300,0.897,36.6,0.1918,0.1196,East North Central,1
Mathews CDP,LA,0,0,-99,2535,0.0859,63227,64636,0.8404,0.1837,0.7841,0.2159,121800,0.9527,33.4,0.2505,0.0955,West South Central,0
Cass City village,MI,0,0,-99,2535,0.1462,44722,52000,0.8797,0.1663,0.7933,0.2067,85600,0.9755,40.4,0.2477,0.1921,East North Central,0
Granville village,NY,0,0,-99,2535,0.2124,36111,54875,0.8585,0.138,0.5975,0.4025,115900,0.9815,43.3,0.2663,0.2099,Middle Atlantic,0
Rossmoyne CDP,OH,0,0,-99,2535,0.1338,47692,52266,0.867,0.133,0.6546,0.3454,121900,0.7132,39.1,0.2521,0.0892,East North Central,2
Chester Heights borough,PA,0,0,-99,2535,0.036,75426,88472,0.956,0.488,0.722,0.278,259000,0.8809,44.2,0.202,0.183,Middle Atlantic,0
Rockledge borough,PA,0,0,-99,2535,0.033,73162,84526,0.923,0.213,0.744,0.256,249000,0.9538,42,0.193,0.14,Middle Atlantic,3
Sandycreek township,PA,0,0,-99,2535,0.095,53667,64632,0.914,0.217,0.855,0.145,106500,0.9132,46.7,0.209,0.191,Middle Atlantic,1
Chiefland city,FL,0,0,-99,2536,0.3646,24295,24234,0.7699,0.1023,0.4531,0.5469,86500,0.6763,34.1,0.289,0.1384,South Atlantic,0
Monroe City city,MO,0,0,-99,2536,0.1726,43345,57361,0.8706,0.2297,0.645,0.355,78600,0.89,37.5,0.2287,0.1735,West North Central,0
La Selva Beach CDP,CA,0,0,-99,2537,0.08,95991,97275,0.9907,0.4992,0.7169,0.2831,801000,0.9511,49.4,0.1872,0.19,Pacific,0
Barnesville city,MN,0,0,-99,2537,0.0498,58409,73500,0.9077,0.2275,0.8608,0.1392,125400,0.9661,34.7,0.298,0.1628,West North Central,2
Dayton city,OR,0,0,-99,2537,0.1539,44929,54259,0.7566,0.1435,0.7443,0.2557,163300,0.6768,33,0.3343,0.108,Pacific,1
Crooksville village,OH,0,0,-99,2538,0.2519,31690,36838,0.8355,0.0608,0.5849,0.4151,73200,0.9771,34.5,0.2262,0.1718,East North Central,1
Madrid city,IA,0,0,-99,2539,0.0553,49500,58796,0.8958,0.1477,0.7058,0.2942,103500,0.9961,36.5,0.2686,0.1564,West North Central,2
Gambrills CDP,MD,0,0,-99,2539,0,115605,117278,0.9631,0.4221,0.965,0.035,461600,0.7917,43.6,0.2245,0.141,South Atlantic,0
Colwyn borough,PA,0,0,-99,2539,0.191,41019,63707,0.865,0.251,0.61,0.39,98800,0.1682,29.8,0.258,0.06,Middle Atlantic,0
New Stanton borough,PA,0,0,-99,2539,0.145,53083,59444,0.97,0.322,0.519,0.481,166400,0.9476,38.4,0.228,0.137,Middle Atlantic,0
Lake Village city,AR,0,0,-99,2540,0.3593,23359,32800,0.6598,0.1936,0.5629,0.4371,67600,0.3835,41.6,0.2638,0.1882,West South Central,0
Springfield city,KY,0,0,-99,2540,0.2328,34635,42083,0.7574,0.1983,0.644,0.356,87800,0.7961,41,0.2346,0.2118,East South Central,0
Rollinsford town,NH,0,0,-99,2540,0.084,63605,80809,0.916,0.349,0.744,0.256,239200,0.9575,38.8,0.251,0.128,New England,3
Woodsfield village,OH,0,0,-99,2540,0.2173,28000,38698,0.8509,0.1208,0.6955,0.3045,76900,0.9839,44.3,0.2323,0.2429,East North Central,0
Berlin township,PA,0,0,-99,2540,0.122,54840,69215,0.88,0.158,0.79,0.21,200400,0.9701,41.8,0.214,0.134,Middle Atlantic,0
Pleasant Ridge city,MI,0,0,-99,2541,0.035,100714,137000,0.9869,0.6549,0.9228,0.0772,246600,0.913,44.5,0.1854,0.1641,East North Central,6
Enfield town,NC,0,0,-99,2541,0.3909,23013,25256,0.6401,0.1171,0.4064,0.5936,73800,0.0988,39.3,0.2601,0.1846,South Atlantic,1
Bethlehem village,WV,0,0,-99,2541,0.0649,58300,68859,0.9612,0.2743,0.8517,0.1483,118600,0.9732,46,0.1913,0.1716,South Atlantic,0
Georgetown-Quitman County unified government,GA,0,0,-99,2542,0.2257,32750,38750,0.685,0.0562,0.716,0.284,66800,0.4626,40.4,0.2494,0.2018,South Atlantic,2
Bayou Gauche CDP,LA,0,0,-99,2542,0.1787,69063,105237,0.9037,0.1539,0.9211,0.0789,160600,0.9292,38.1,0.3143,0.0531,West South Central,0
Persia town,NY,0,0,-99,2542,0.142,47083,68333,0.868,0.165,0.673,0.327,71100,0.9095,46.4,0.178,0.202,Middle Atlantic,1
Curwensville borough,PA,0,0,-99,2542,0.198,32311,44609,0.908,0.11,0.71,0.29,69200,0.9957,41.2,0.229,0.193,Middle Atlantic,0
Albany city,MN,0,0,-99,2543,0.0503,51929,61875,0.8681,0.1325,0.7676,0.2324,148400,0.9768,35.5,0.2776,0.1852,West North Central,0
Dixon Lane-Meadow Creek CDP,CA,0,0,-99,2544,0.0972,55553,71042,0.8033,0.1666,0.8506,0.1494,69400,0.8644,46.9,0.2178,0.2622,Pacific,1
Kalona city,IA,0,0,-99,2544,0.078,46098,61420,0.812,0.176,0.7461,0.2539,128500,0.9788,44.6,0.2193,0.2339,West North Central,1
Charlevoix city,MI,1,22,2513,2544,0.1975,36496,67750,0.9334,0.321,0.6,0.4,168200,0.9532,46,0.1844,0.2319,East North Central,0
Chenoweth CDP,OR,0,0,-99,2544,0.1316,46653,59931,0.867,0.1403,0.7445,0.2555,165500,0.8994,47.4,0.2044,0.1604,Pacific,0
Coudersport borough,PA,0,0,-99,2544,0.119,39148,57011,0.911,0.28,0.633,0.367,86400,0.9725,44.2,0.224,0.195,Middle Atlantic,0
Daingerfield city,TX,0,0,-99,2544,0.1961,35119,46991,0.8012,0.161,0.7157,0.2843,68500,0.7319,39.6,0.2414,0.1828,West South Central,0
Charleston city,AR,0,0,-99,2545,0.1081,47143,56417,0.9219,0.2507,0.7256,0.2744,74300,0.9631,31,0.3053,0.1407,West South Central,0
Hawarden city,IA,0,0,-99,2545,0.1108,42979,46719,0.7602,0.1254,0.7303,0.2697,78100,0.8208,42.2,0.231,0.1878,West North Central,0
Claryville CDP,KY,0,0,-99,2545,0.0868,66196,73462,0.9435,0.2191,0.8356,0.1644,158500,0.9517,32,0.2935,0.1383,East South Central,1
Forward township,PA,0,0,-99,2545,0.067,64191,68598,0.902,0.164,0.85,0.15,169700,0.9819,45,0.224,0.154,Middle Atlantic,0
El Paso city,IL,0,0,-99,2546,0.07,52452,76912,0.9105,0.1262,0.7732,0.2268,115000,0.9749,41.3,0.2184,0.1512,East North Central,0
Dunkirk CDP,MD,0,0,-99,2547,0.0301,102500,109634,0.9564,0.3465,0.9109,0.0891,428000,0.883,40.9,0.2576,0.1072,South Atlantic,0
Wayne township,PA,0,0,-99,2547,0.074,52976,59561,0.833,0.138,0.89,0.11,108100,0.9878,44.6,0.229,0.182,Middle Atlantic,0
Buckhorn CDP,CA,0,0,-99,2548,0.0696,53625,56494,0.8852,0.1559,0.7879,0.2121,263700,0.9321,57.8,0.1393,0.374,Pacific,0
Centerville town,IN,0,0,-99,2548,0.1054,39375,48598,0.8649,0.1246,0.694,0.306,92700,0.9305,38.3,0.2665,0.1421,East North Central,1
Corinth village,NY,0,0,-99,2548,0.1395,50735,62750,0.9062,0.1688,0.6762,0.3238,131200,0.9525,36.3,0.2716,0.126,Middle Atlantic,0
Dillsburg borough,PA,0,0,-99,2548,0.033,50536,64050,0.905,0.268,0.655,0.345,170300,0.9686,37.3,0.226,0.151,Middle Atlantic,0
Glenrock town,WY,1,10,2576,2548,0.0645,69817,74205,0.9136,0.1459,0.6783,0.3217,160400,0.9604,34.8,0.2571,0.1381,Mountain,2
Danville city,AR,0,0,-99,2549,0.2523,36042,39667,0.5125,0.0935,0.5714,0.4286,80300,0.4743,27.7,0.348,0.0985,West South Central,0
Parksdale CDP,CA,0,0,-99,2549,0.2453,40453,31900,0.5132,0.0169,0.6003,0.3997,128900,0.7003,33.9,0.3484,0.06,Pacific,0
Zolfo Springs town,FL,0,0,-99,2549,0.3772,33403,32941,0.4277,0.0316,0.7439,0.2561,82000,0.8796,22.5,0.4355,0.0824,South Atlantic,0
Brusly town,LA,1,10,2620,2549,0.1453,65250,86118,0.8926,0.1991,0.8627,0.1373,192500,0.814,37.8,0.2464,0.1302,West South Central,0
Parish town,NY,0,0,-99,2549,0.104,48843,56964,0.852,0.115,0.87,0.13,92400,0.9674,35.7,0.31,0.112,Middle Atlantic,0
Liberty borough,PA,0,0,-99,2549,0.072,52243,62989,0.925,0.135,0.881,0.119,76400,0.958,43.3,0.192,0.191,Middle Atlantic,0
Marfa city,TX,0,0,-99,2549,0.1537,40893,46719,0.7992,0.3794,0.728,0.272,113300,0.9384,45.4,0.1652,0.2224,West South Central,0
Winters city,TX,0,0,-99,2549,0.2455,35288,43176,0.6898,0.103,0.6842,0.3158,40900,0.9517,39.1,0.2958,0.1718,West South Central,0
Eddyville city,KY,0,0,-99,2550,0.1978,31800,39402,0.8147,0.1133,0.5827,0.4173,100500,0.8816,41.4,0.14,0.1212,East South Central,0
Sabetha city,KS,0,0,-99,2551,0.1392,37952,58971,0.8428,0.2104,0.6618,0.3382,74100,0.9643,49.6,0.2003,0.305,West North Central,1
Cato town,NY,0,0,-99,2551,0.094,58792,66182,0.909,0.184,0.849,0.151,106400,0.9733,47.9,0.165,0.149,Middle Atlantic,1
Laurens town,NY,0,0,-99,2551,0.194,44020,49766,0.893,0.207,0.85,0.15,117000,0.991,49.6,0.193,0.209,Middle Atlantic,0
Summerhill township,PA,0,0,-99,2551,0.09,50793,54875,0.889,0.148,0.9,0.1,78400,1,42,0.231,0.171,Middle Atlantic,0
Dyer city,TN,0,0,-99,2551,0.1463,38995,48563,0.823,0.1033,0.6953,0.3047,72900,0.675,36.8,0.2595,0.1791,East South Central,0
Osceola village,WI,1,6,2745,2551,0.1639,34486,46786,0.9342,0.2044,0.5554,0.4446,146400,0.9686,34.1,0.2328,0.1466,East North Central,1
Moose Wilson Road CDP,WY,0,0,-99,2551,0.0909,67232,67054,0.9891,0.7829,0.7128,0.2872,1000001,1,32.8,0.2011,0.0823,Mountain,2
Arnold CDP,CA,0,0,-99,2552,0.1331,54563,60486,0.9385,0.3076,0.7922,0.2078,408000,0.9103,57.2,0.0721,0.2958,Pacific,0
Rock Rapids city,IA,1,17,2549,2552,0.0877,47037,62344,0.8614,0.2021,0.7623,0.2377,93300,0.9914,43.7,0.2316,0.2081,West North Central,0
Chesterfield town,IN,0,0,-99,2552,0.1577,34665,41798,0.8596,0.1058,0.7352,0.2648,64700,0.9471,40,0.2069,0.1783,East North Central,1
Lake Crystal city,MN,0,0,-99,2552,0.0396,59375,65337,0.9387,0.1771,0.8052,0.1948,142200,0.9628,32.7,0.2931,0.1199,West North Central,0
Texas township,PA,0,0,-99,2552,0.137,45263,46518,0.849,0.151,0.744,0.256,172000,0.9451,41.6,0.251,0.161,Middle Atlantic,0
Farmington town,MS,0,0,-99,2553,0.1092,40581,48080,0.7964,0.0719,0.6616,0.3384,82400,0.9624,33.8,0.2323,0.1289,East South Central,0
Walters city,OK,0,0,-99,2553,0.1403,50130,55725,0.8497,0.1412,0.6475,0.3525,73600,0.7544,33.6,0.2648,0.1003,West South Central,0
La Porte City city,IA,0,0,-99,2554,0.0843,52530,69891,0.9184,0.177,0.7218,0.2782,110700,0.9244,32.3,0.2976,0.1621,West North Central,1
Phillipsburg city,KS,1,27,2581,2554,0.0955,38295,54208,0.8928,0.1223,0.7612,0.2388,59800,0.933,42.9,0.2588,0.2024,West North Central,0
East Williston village,NY,0,0,-99,2554,0.0153,135357,158036,0.9799,0.6566,0.9718,0.0282,777200,0.9714,45.8,0.2768,0.1613,Middle Atlantic,1
Otisco town,NY,0,0,-99,2554,0.047,65417,78370,0.935,0.244,0.856,0.144,159800,1,43.5,0.236,0.124,Middle Atlantic,0
Perry township,PA,0,0,-99,2554,0.228,34955,44375,0.821,0.126,0.763,0.237,88600,0.9785,47.1,0.156,0.172,Middle Atlantic,0
Morgantown city,KY,0,0,-99,2555,0.471,14916,29861,0.6218,0.0507,0.4976,0.5024,71600,0.9648,39.7,0.2434,0.2274,East South Central,0
Glenwood city,MN,0,0,-99,2555,0.1737,40205,49526,0.917,0.2081,0.5947,0.4053,108100,0.9992,43.6,0.2219,0.256,West North Central,0
Cadiz city,KY,1,1,2500,2556,0.2385,30506,37063,0.7243,0.0986,0.5833,0.4167,90100,0.7774,39.6,0.2328,0.1831,East South Central,0
Fannett township,PA,0,0,-99,2556,0.233,36033,49231,0.667,0.075,0.781,0.219,160500,1,30.5,0.351,0.124,Middle Atlantic,0
Millersburg borough,PA,0,0,-99,2556,0.083,44353,58065,0.84,0.125,0.532,0.468,98400,0.9793,41.9,0.234,0.235,Middle Atlantic,0
Harlem CDP,FL,0,0,-99,2558,0.4429,17361,29712,0.6523,0.0512,0.5794,0.4206,83800,0.0524,23.9,0.3831,0.1513,South Atlantic,0
