PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
Beekman town,NY,0,0,-99,14602,0.033,89521,96408,0.894,0.312,0.914,0.086,340800,0.8333,39.6,0.229,0.101,Middle Atlantic,0
Foley city,AL,1,33,15402,14603,0.19,41370,48543,0.8929,0.215,0.591,0.409,166600,0.6815,40.3,0.2387,0.1978,East South Central,5
Bloomsburg town,PA,0,0,-99,14608,0.374,30310,50175,0.918,0.284,0.383,0.617,120300,0.9025,22,0.123,0.091,Middle Atlantic,0
Westwood town,MA,0,0,-99,14616,0.033,130824,160227,0.978,0.682,0.88,0.12,620400,0.9287,44.2,0.296,0.191,New England,4
Dumas city,TX,0,0,-99,14618,0.1088,50172,55352,0.7209,0.1456,0.7124,0.2876,91100,0.75,31.5,0.3275,0.0992,West South Central,0
New Haven city,IN,1,3,14794,14624,0.0991,48649,56277,0.8853,0.1803,0.7424,0.2576,93800,0.9238,36.7,0.2464,0.132,East North Central,1
La Marque city,TX,0,0,-99,14626,0.1765,44550,50341,0.8346,0.1522,0.7405,0.2595,85300,0.5561,35.8,0.2602,0.1302,West South Central,0
Dickson city,TN,0,0,-99,14629,0.1739,33474,45202,0.8409,0.139,0.6164,0.3836,130100,0.843,36.5,0.2565,0.1377,East South Central,0
Dallas city,OR,1,6,14700,14632,0.1409,48925,54851,0.9115,0.1796,0.622,0.378,194700,0.9254,36.9,0.2638,0.174,Pacific,2
Republic city,MO,0,0,-99,14637,0.1265,51351,60011,0.9061,0.1931,0.6343,0.3657,118300,0.9578,32.6,0.2906,0.1166,West North Central,2
Sterling city,CO,1,26,14727,14642,0.1786,36571,39645,0.8539,0.1334,0.6437,0.3563,98600,0.9201,33,0.201,0.13,Mountain,0
Bridgetown CDP,OH,0,0,-99,14644,0.064,56706,69622,0.9196,0.2315,0.8589,0.1411,132700,0.9842,39.9,0.2378,0.1832,East North Central,0
South Middleton township,PA,0,0,-99,14644,0.025,68054,79743,0.929,0.331,0.812,0.188,190200,0.9552,45.6,0.214,0.201,Middle Atlantic,1
Elk Plain CDP,WA,0,0,-99,14645,0.073,67108,73585,0.9112,0.141,0.799,0.201,221200,0.7646,34.1,0.2723,0.0772,Pacific,0
Malone town,NY,0,0,-99,14648,0.197,49149,59464,0.812,0.156,0.638,0.362,92500,0.7601,38,0.166,0.104,Middle Atlantic,0
Brooklyn Park CDP,MD,0,0,-99,14650,0.1071,57016,66829,0.7932,0.1016,0.805,0.195,219700,0.7137,38.3,0.2317,0.1469,South Atlantic,1
Norridge village,IL,0,0,-99,14656,0.0662,55096,68342,0.8449,0.1981,0.839,0.161,277700,0.9268,46,0.1683,0.2593,East North Central,3
Corinth city,MS,0,0,-99,14663,0.2149,28783,45349,0.8017,0.2161,0.582,0.418,99400,0.7426,42.9,0.2435,0.1825,East South Central,0
Imperial city,CA,0,0,-99,14689,0.133,62500,61857,0.8099,0.2204,0.6907,0.3093,180900,0.7864,30.1,0.348,0.0769,Pacific,0
Northview CDP,MI,0,0,-99,14691,0.0971,52000,68600,0.9495,0.3187,0.7591,0.2409,144100,0.9216,38.6,0.2363,0.1381,East North Central,3
Forney city,TX,0,0,-99,14692,0.0742,82606,90679,0.9454,0.2583,0.8584,0.1416,144900,0.8356,31.1,0.3408,0.0544,West South Central,1
Durham town,NH,1,36,14638,14695,0.201,72176,114191,0.966,0.728,0.61,0.39,338600,0.9126,20.7,0.107,0.059,New England,2
Glens Falls city,NY,0,0,-99,14696,0.1395,43533,59719,0.9004,0.2461,0.5168,0.4832,152900,0.9607,39.3,0.1976,0.1271,Middle Atlantic,0
Canton city,IL,0,0,-99,14699,0.1885,39387,52616,0.8178,0.1601,0.6058,0.3942,84800,0.9055,37.7,0.1924,0.1636,East North Central,0
Traverse City city,MI,1,25,14674,14702,0.1487,44542,59975,0.9438,0.3872,0.6139,0.3861,174500,0.953,38.6,0.1948,0.1515,East North Central,1
Colesville CDP,MD,0,0,-99,14709,0.0313,105521,120538,0.9079,0.4972,0.9477,0.0523,441700,0.4675,45.9,0.2165,0.1828,South Atlantic,0
